Rep Detail Report: Maggie McCoy,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
88,118676.8,326398.22,55,12150.78,33,314247.44,54,7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,2,143867.65,0,,,,,,,,,,
Group 1 Medium Potential: ,2,58748.0,0,,,,,,,,,,
Group 2 Medium Potential: ,8,57366.28,0,,,,,,,,,,
Group 2 High Potential: ,5,48004.62,0,,,,,,,,,,
Group 3 Medium Potential: ,9,10793.48,8,,,,,,,,,,
Group 3 High Potential: ,12,4954.29,0,,,,,,,,,,
Group 3 Low Potential: ,50,2663.9,47,,,,,,,,,,
Totals,88,326398.22,55,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | 202615.65 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1015274,Boyne Resorts,DESIGN,DESIGN_FIRM,4780.0,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,2/7/2020,FALSE,0.0,TRUE
1014265,Leslie McGwire and Associates Inc,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/5/2021,FALSE,0.0,TRUE
1026790,Wild|crg,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/20/2024,FALSE,0.0,TRUE
1026936,Birchmeier,DESIGN,DESIGNER_INDEPENDENT,3915.0,0.0,3,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/28/2024,FALSE,0.0,TRUE
1012011,MFG Interiors,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/12/2020,FALSE,0.0,TRUE
1027050,Sarah Moneybrake Interior Design,DESIGN,DESIGN_FIRM,39.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/8/2024,FALSE,0.0,TRUE
1027053,555 International,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/29/2024,FALSE,0.0,TRUE
1027266,The Design Coach,DESIGN,DESIGN_FIRM,628.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/13/2024,FALSE,0.0,TRUE
1027409,HGA,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/28/2024,FALSE,0.0,TRUE
1027619,MDP Design(PA),DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,6/26/2024,FALSE,0.0,TRUE
1027633,Jeff Horwath Family Builders,DESIGN,ARCHITECT_BUILDER,125.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/16/2024,FALSE,0.0,TRUE
1027682,Lg Group,DESIGN,DESIGN_FIRM,5789.56,0.0,4,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/8/2024,FALSE,0.0,TRUE
1027722,RATIO,DESIGN,ARCHITECT_BUILDER,713.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/12/2024,FALSE,0.0,TRUE
1027728,Midway Flooring,DESIGN,HOSPITALITY,1550.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/9/2024,FALSE,0.0,TRUE
1027806,IA Interior Architecture,DESIGN,ARCHITECT_BUILDER,100.0,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/26/2024,FALSE,0.0,TRUE
1028013,L&R Capital,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/20/2024,FALSE,0.0,TRUE
1034845,Perkins&Will,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/28/2024,FALSE,0.0,TRUE
1035088,Lamar Johnson Collaborative,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/26/2024,FALSE,0.0,TRUE
1006464,Childs Dreyfus Group,DESIGN,DESIGNER_INDEPENDENT,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,4/14/2020,FALSE,0.0,TRUE
1035221,Henricksen (WI),DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/15/2024,FALSE,0.0,TRUE
1006322,Vara Design,DESIGN,DESIGN_FIRM,2303.26,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,9/19/2019,FALSE,0.0,TRUE
1026693,Perkins and Will (CHICAGO),DESIGN,ARCHITECT_BUILDER,1443.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/11/2024,FALSE,0.0,TRUE
1012816,Studio K + MER Procurement,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/7/2020,FALSE,0.0,TRUE
1026084,ESG Architecture & Design,DESIGN,HOSPITALITY,7621.5,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/27/2024,FALSE,0.0,TRUE
1012874,Phanomen Design,DESIGN,DESIGN_FIRM,1268.8,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/17/2020,FALSE,0.0,TRUE
1017266,Parini,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/8/2023,FALSE,0.0,TRUE
1017760,Intramode,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/25/2020,FALSE,0.0,TRUE
1017913,DHOSPITALITY,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/17/2020,FALSE,0.0,TRUE
1018756,"Commercial Carpet Consultants, Inc",DESIGN,DESIGN_FIRM,6681.48,0.0,2,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,2/25/2021,FALSE,0.0,TRUE
1018790,Frey Design,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/4/2021,FALSE,0.0,TRUE
1019003,Redico,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/18/2022,FALSE,0.0,TRUE
1019588,āśaya I DESIGN,DESIGN,DESIGNER_INDEPENDENT,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,1/31/2022,FALSE,0.0,TRUE
1019973,Streamline Architects,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/12/2021,FALSE,0.0,TRUE
1021102,SW1 INTERIOR DESIGN STUDIO,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,1/31/2022,FALSE,0.0,TRUE
1026000,Partners by Design,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,2/5/2024,FALSE,0.0,TRUE
1021445,The Tutera Group,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/21/2022,FALSE,0.0,TRUE
1021940,Whitespace Interiors,DESIGN,DESIGN_FIRM,0.0,0.0,0,2,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/25/2023,FALSE,0.0,TRUE
